title,context
제네시스 구입 후 세금계산서 발급받으려고 하는데 어떻게 해야 하나요?,[개인사업자 및 법인사업자 구입고객]2010년 7월 1일부터 세금계산서가 서면이 아닌 전자 세금계산서로 발행이 됩니다. 사이트( http://e-vat.hyundai.com ) 에서 발급받으시면 됩니다.[개인 구입고객]2011년 4월11일부터 차량 구입하신 지점(대리점)에서 영수증이 발행됩니다.※재발행은 차량 구입하신 지점(대리점)으로 문의해 주시기 바랍니다.
제네시스 차량 구입 시 의무보험료란 금액을 납부하였습니다. 이것은 어떤 종류의 보험인가요?,"의무보험은 차량이 출고센터를 동해 출고되어 임시운행 기간 동안에만 유효한 보험입니다. 이는 임시운행 기간 중 발생되는 교통사고 피해자의 피해배상 보장을 위한 자동차 손해배상보장법 개정으로 임시운행허가 차량의 의무보험 가입이 법제화 되었습니다. 보상책임기간은 출고일부터 임시운행허가 기간인 10일(기간 만료일 24시까지)동안이고 보험료는 차종별 정액보험료가 적용됩니다. (대부분의 경우 1만원 이내) 따라서 차량을 구입하신 고객께서는 임시운행허가기간 종료 이전에 1년만기 책임보험, 혹은 종합보험에 반드시 가입하셔야 합니다. 의무보험은 1회 소멸성 보험으로 임시운행증을 반납하거나 다른 책임보험에 가입하시는 경우 자동으로 해지가 됩니다."
일정기간 이상 지난 차량은 자동차세가 경감된다고 하는데 그 내용을 알고 싶습니다.,"자가용 승용차의 차령 3년이상 차량에 대한 자동차세 경감은 현재에도 시행되고 있는 사항으로 대입공식은 다음과 같습니다.○자동차세/2-(자동차세/2*5%)*(차령-2)※ 단, 차령 12년 이상은 12년으로 간주"
부가세 환급을 받을 수 있는 차종 및 조건은 무엇인가요?,"개인 또는 법인 사업자 명의로 등록하는 경우 9인승 이상의 차량이나 경차, 화물차 구입시 부가세를 환급 받으실 수 있습니다. (단, 면세사업자 제외)"
차량에 부과되는 세금은 어떤 종류가 있나요?,"현행 자동차관련 세금항목은 다음과 같습니다.① 구입단계 : 개별소비세(8인승 이하 승용차한), 교육세(개소세의 30%), 부가가치세② 등록단계 : 등록세, 취득세③ 소유단계 : 자동차세(연단위 부여)④ 유류관련 : 교통세, 주행세, 교육세, 부가가치세⑤ 기타 : 공채매입, 환경개선비용부담금(해당자동차한)"
제네시스 차량을 구입하려면 어떻게 해야하나요?,"제네시스에서는 전국 정식 지점/대리점을 통해서만 차량을 판매하고 있습니다. 자세한 지점/대리점 위치는 홈페이지 전시장 / 센터 찾기에서 확인하실 수 있습니다. 그 이외의 유통경로(인터넷 등)로는 차량 공급이 되지 않사오니 차량 구입시 주의해주시기 바라며 전국 어느 곳에서나 같은 제품,같은 가격으로 바른거래를 실천하고 있습니다. 참고로, 제네시스 홈페이지 구매상담 신청을 이용시 고객님께서 원하시는 지점, 대리점을 선택하여 상담신청을 하시면 전문영업사원이 신속하고 친절하게 차량구매에 관한 모든 궁금증을 해결해 드리겠습니다."
차량구입에 관련된 금액은 어떠한 결제방식이 있나요?,"차량구입에 관련된 금액의 결제는 현금, 신용카드 및 할부이용 등의 방법이 있습니다. 그 이외 현재 보유차량 매각대금 대체 및 직불카드 등의 이용은 불가합니다."
차량 계약금 및 차량 대금을 입금하려고 하는데 입금 계좌가 정해져 있나요?,"차량계약금 및 차량대금은 자동차 매매계약서에 명시된 지정계좌 및 계약자 본인의 가상계좌로 송금하여 주시고, 무통장 입금증을 잘 보관하여 주시기 바랍니다.※가상계좌의 경우 해당 지점, 대리점에 문의하시면 확인 가능합니다."
차량 계약 후 해지 시 계약금은 환불 받을 수 있나요?,"차량 출고 전 해지 요청 시에는 계약금 환불이 가능하며, 자세한 사항은 계약하신 지점(대리점)에 문의 바랍니다."
제네시스에서 중고차를 구입할 수 있나요?,현재 저희 현대자동차는 현대·제네시스 인증 중고차(Hyundai Certified·GENESIS CERTIFIED) 매입 및 판매를 시행하고 있습니다.※ 고객분들의 편리하고 안전한 중고차 거래를 위해 제네시스 인증 중고차 사이트(https://certified.hyundai.com)를 운영 중이니 참고하시기 바랍니다.
차량 계약 후 예상 납기일에 대해 알 수 있나요?,계약하신 지점(대리점)에서 확인 가능합니다.
신차 구입시 기존에 타던 차량을 팔고 인도금으로 대체할 수 있나요?,저희 현대자동차는 현대·제네시스 인증 중고차 매입 및 판매를 시행하고 있습니다.현재 운영 중인 제네시스 인증 중고차 사이트(https://certified.hyundai.com)를 통해 보상 매입 서비스 공지사항 확인 부탁드립니다.
자동차 리스에 대해 알고 싶어요.,"자동차 리스란, 캐피탈사가 고객이 원하는 자동차를 대신 구매하여 고객에게 차량을 임대하여 제공하여 주고 고객은 캐피탈사에 매월 이용료를 납부하는 방식의 자동차 금융 상품입니다. 고객의 다양한 Needs에 맞는 맞춤형 상품 구성이 가능하며, 자동차 리스도 할부나 현금 구매와 동일하게 영업사원에게 문의하시면 됩니다."
포인트는 유효기간이 있나요?,현대카드 M포인트 및 현대자동차 제휴카드 포인트의 유효기간은 최초적립일로부터 만 5년 입니다. 따라서 이 기간이 지난 포인트는 최초적립일로부터 월단위로 소멸됩니다.
본인 이외의 가족이 보유한 포인트를 사용할 수 있나요?,'14.8월 개인정보 보호법 개정으로 가족카드/가족회원의 포인트 사용이 불가합니다. 블루멤버스 포인트 및 현대카드 M포인트 모두 본인 및 공동명의자의 포인트로만 차량 구입시 사용하실 수 있습니다.
장애인 차량 구입 조건에 대해 알고 싶습니다.,"장애인 조건의 차량구입은 장애인 단독명의, 장애인과 주민등록표상 세대를 함께하는 배우자, 직계존비속, 형제자매 또는 직계비속의 배우자 공동명의로 구입이 가능합니다. 단, 몇 가지 조건이 붙는데 장애인 공동명의 조건으로 구입하신 차량은 차량 출고 후 5년간 동일조건(주민등록법상 동일세대)를 유지해야 하고 이 조건이 충족되지 않을 때 면세 받은 금액을 납부하셔야 합니다. 또한 재구입연한이 만 5년으로 되어있어 기간 내에 동일차량을 계속 보유하셔야 되며, 이 또한 조건 불충족시 면세 받으신 세금을 납부하시게 됩니다."
장애인 조건으로 제네시스 차량 구입 시 혜택을 알고 싶습니다.,"장애인 조건으로 차량 구입시 혜택은 크게 3가지 입니다.① 차량 개소세 면세② 지방세(취득세, 등록세, 자동차세)면세(서울시 기준)③ 공채매입 면세 이중 일반장애 1~3급 및 국가유공상이 1~7급은 1,2,3번의 혜택을 모두 받으실 수 있으며 그 이외의 장애등급 고객께서는 공채매입 면제만 가능합니다.(서울시 기준)※지방세 면세내용은 각 지방자치단체 조례에 따라 상이하므로 반드시 해당 지방자치단체로 문의 및 구입 전 확인을 요합니다."
세이브오토 및 M포인트 차감을 통해 차량 가격을 할인받았습니다. 그런데 세금계산서상 금액과 차이가 있는데 왜 그런가요?,"세이브오토 및 M포인트는 현대카드사와 공동으로 시행중인 이벤트행사입니다. 세이브오토 및 M포인트 사용을 통해 할인 받으신 금액은 전액 세금계산서에서 제외되지 않고 60%는 당사가, 나머지 40%는 현대카드사에서 지원하고 있습니다. 따라서 현대카드사 부담분(40%)은 당사 차량판매에 대한 세금계산서상 할인매출로 인식되지 않습니다."
세이브오토 이용에 관해 알고 싶습니다.,"제네시스 신차 구입시 현대카드M을 이용하여 선수금을 10만원 이상 결제하시는 경우 차량구매 대금중 일부를 해당포인트(20만/30만/50만)만큼 선할인해 드립니다. 선할인 받으신 금액은 이후 36개월 동안 고객님의 현대카드M 사용실적에 따라 적립되는 포인트로 상환하시게 되며, 미상환 하신 경우 익월 카드대금 청구시 전액 청구됩니다. 세이브오토 프로그램은 적용을 원하시는 고객께서 신청하시는 경우에만 적용되고 이용기간 중 미상환하신 포인트에 대한 대금청구시 이자는 부과되지 않습니다."
제네시스 차량 구입 시 신용카드는 얼마까지 이용할 수 있나요?,자동차 구입시 신용카드를 이용한 결제는 고객님 신용카드 한도 내에서 희망하시는 금액까지 자유로이 결제가 가능합니다.
